Project,Issue,Type,CS Severity,ToB Severity,Difficulty,Static,Dynamic,,,
Blockimmo,security,logic,med,medium,medium,0,1,,Reports from:,https://github.com/ChainSecurity/audits
,,access controls,med,medium,medium,1,0,,CS Sev -> ToB Sev & Diff:,
,,access controls,low,low,high,0,1,,"CS assigns a severity and likelihood (inverse of difficulty) to issues in the Security section. In those cases, I generally deferred to their categorization unless I was aware of a similar issue of ours that was categorized differently",
,trust,missing logic,med,low,low,0,0,,Trust issues tended to overwhelmingly relate to access control issues due to the nature of those issues,
,,access controls,med,low,low,0,1,,"Design issues tended to be code quality, but some higher severity issues cropped up here as well",
,,configuration,low,high,low,0,1,,,
,,missing logic,low,medium,low,0,1,,low & n/a -> what we would include in a Code Quality appendix,
,,data validation,low,high,high,0,0,,,
,design,code quality,low,info,n/a,1,0,,,
,,logic,medium,high,low,0,1,,,
,,code quality,medium,info,n/a,1,0,,,
,,frontrunning,low,low,high,0,0,,,
,,numerics,low,low,low,1,1,,,
,,reentrancy,low,low,low,1,1,,,
,,logic,low,medium,medium,0,1,,,
,,timing,low,low,medium,0,1,,,
,,logic,low,low,high,0,1,,,
,,code quality,low,info,n/a,1,0,,,
,,code quality,low,info,n/a,1,0,,,
,,code quality,low,info,n/a,0,0,,,
,,missing logic,low,info,n/a,0,0,,,
,,data validation,low,info,low,0,0,,,
DAOStack v2,security,access controls,high,high,low,0,1,,,
,,numerics,med,high,high,1,1,,,
,,numerics,low,high,high,1,1,,,
,,access controls,high,high,high,0,1,,,
,,numerics,low,low,medium,0,1,,,
,,timing,low,low,medium,1,1,,,
,trust,access controls,med,medium,medium,0,0,,,
,,access controls,medium,medium,low,0,0,,,
,,access controls,med,medium,low,0,0,,,
,design,code quality,med,info,n/a,0,0,,,
,,numerics,med,low,low,0,0,,,
,,api inconsistency,med,low,low,0,0,,,
,,code quality,low,low,info,0,0,,,
,,data validation,low,low,low,0,1,,,
,,data validation,low,low,low,0,1,,,
,,numerics,med,low,low,0,1,,,
,,data validation,low,low,low,0,1,,,
,,code quality,low,info,n/a,1,0,,,
,,undefined behavior,med,medium,medium,1,0,,,
,,timing,med,info,low,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,patching,low,info,n/a,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,timing,med,low,low,1,0,,,
,,code quality,low,info,n/a,1,0,,,
,,code quality,low,info,n/a,0,0,,,
,,code quality,low,info,n/a,1,0,,,
,,documentation,low,info,low,0,0,,,
,,code quality,low,info,n/a,1,0,,,
Digix,1.1,authentication,high,medium,medium,0,0,,,
,1.2,authentication,high,high,medium,1,0,,,
,1.3,access controls,low,low,medium,0,1,,,
,2.1,data validation,low,medium,high,0,1,,,
,4.1,authentication,med,low,low,0,1,,,
,4.2,configuration,low,medium,high,0,1,,,
,5.1,numerics,low,low,low,1,1,,,
,5.2,access controls,med,high,high,0,1,,,
,5.3,coding bug,med,high,high,1,1,,,
,6.1,access controls,med,high,high,0,1,,,
,8.1,access controls,low,low,high,0,0,,,
,8.2,code quality,low,info,low,0,0,,,
,1.1,access controls,,high,high,0,0,,,
,1.2,auditing and logging,,low,low,0,0,,,
,1.3,patching,,info,high,0,0,,,
,1,timing,med,medium,high,0,0,,,
,2,code quality,low,info,n/a,1,0,,,
,3,access controls,low,info,low,1,0,,,
,4,code quality,med,info,n/a,1,0,,,
,5,code quality,low,info,n/a,1,0,,,
,6,code quality,med,info,n/a,0,0,,,
,7,code quality,low,info,n/a,1,0,,,
,8,code quality,low,info,n/a,0,0,,,
,9,auditing and logging,low,info,n/a,1,0,,,
,10,code quality,low,info,n/a,0,0,,,
,11,code quality,low,info,n/a,0,0,,,
,12,code quality,low,info,n/a,0,0,,,
,13,code quality,low,info,n/a,0,0,,,
,14,access controls,low,info,low,0,1,,,
,15,code quality,low,info,low,0,0,,,
,16,code quality,med,info,n/a,1,0,,,
,17,data validation,med,low,low,0,1,,,
,18,patching,med,low,high,1,0,,,
,19,documentation,high,low,medium,0,0,,,
,20,code quality,med,info,n/a,1,0,,,
,21,code quality,low,info,n/a,1,0,,,
Kyber,1.5,numerics,low,low,high,0,1,,,
,1.6,numerics,low,low,high,0,1,,,
,1.7,logic,med,medium,medium,0,0,,,
,1.8,numerics,med,medium,high,0,1,,,
,2.1,data validation,med,medium,low,0,0,,,
,2.2,missing logic,low,low,high,0,0,,,
,3.1,code quality,low,info,n/a,0,0,,,
,3.2,documentation,low,info,n/a,0,0,,,
,3.3,error reporting,med,low,low,0,1,,,
,3.4,code quality,med,info,n/a,0,0,,,
,3.5,access controls,med,high,high,0,1,,,
,3.6,code quality,low,info,n/a,0,0,,,
,3.7,code quality,low,info,n/a,0,0,,,
,3.8,auditing and logging,low,info,low,0,0,,,
,3.9,coding bug,low,low,low,0,1,,,
,3.10,code quality,low,info,n/a,0,0,,,
,3.11,code quality,low,info,n/a,1,0,,,
,3.12,frontrunning,low,low,high,0,0,,,
MARKET Protocol,Security,patching,high,high,medium,1,1,,,
,,data validation,high,high,medium,0,0,,,
,,access controls,low,low,high,1,1,,,
,Trust,access controls,med,high,high,0,0,,,
,,data validation,low,low,high,0,0,,,
,,documentation,low,low,low,0,0,,,
,Design,data validation,med,low,high,0,0,,,
,,configuration,med,low,high,0,0,,,
,,access controls,med,medium,low,0,0,,,
,,configuration,med,medium,high,0,0,,,
,,data validation,med,low,low,0,0,,,
,,code quality,med,info,n/a,0,0,,,
,,code quality,med,info,n/a,0,0,,,
,,code quality,med,info,n/a,0,0,,,
,,numerics,low,low,low,0,0,,,
,,configuration,low,low,low,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,data validation,low,low,low,0,0,,,
Melon,Security,patching,med,low,high,1,0,,,
,,access controls,crit,high,low,0,1,,,
,,numerics,low,low,high,1,1,,,
,,data validation,low,low,high,1,0,,,
,,numerics,low,low,high,1,1,,,
,,access controls,med,medium,medium,0,0,,,
,,access controls,high,high,medium,0,0,,,
,,data validation,med,high,high,1,0,,,
,,patching,med,low,high,0,0,,,
,,data validation,low,medium,low,0,0,,,
,,timing,low,low,high,1,0,,,
,,logic,high,high,medium,0,1,,,
,,access controls,low,low,high,0,0,,,
,,data validation,med,medium,medium,1,0,,,
,,access controls,low,low,low,0,0,,,
,,denial of service,low,medium,high,0,0,,,
,,data validation,low,medium,high,0,0,,,
,Trust,access controls,med,low,high,0,0,,,
,,access controls,med,low,high,0,0,,,
,,access controls,med,low,high,0,0,,,
,,patching,med,info,medium,0,0,,,
,,access controls,med,low,high,0,0,,,
,,patching,med,info,high,0,0,,,
,,code quality,low,info,low,0,0,,,
,,numerics,med,low,low,1,1,,,
,,code quality,low,info,n/a,1,0,,,
,,code quality,med,info,n/a,0,1,,,
,,code quality,low,info,n/a,0,0,,,
,,code quality,med,info,n/a,1,0,,,
,,code quality,low,info,n/a,0,0,,,
,,code quality,low,info,n/a,1,0,,,
,,data validation,low,low,high,0,0,,,
Paxos,Security,data validation,med,low,low,0,0,,,
,,access controls,low,low,medium,0,0,,,
,,access controls,med,medium,medium,0,1,,,
,,patching,,info,n/a,0,0,,,
,Design,code quality,low,info,n/a,1,0,,,
,,patching,low,low,high,1,0,,,
,,code quality,low,info,n/a,0,0,,,
POA,1.2,configuration,low,low,high,0,0,,,
,2.2,logic,low,low,high,0,0,,,
,3.3,access controls,low,low,medium,0,1,,,
,4.2,access controls,high,high,medium,0,1,,,
,4.3,data validation,low,low,high,0,1,,,
,4.4,access controls,low,low,high,0,1,,,
,4.5,reentrancy,med,low,high,1,0,,,
,Locked ETH,access controls,low,low,low,0,0,,,
,Design,code quality,low,info,n/a,1,0,,,
,,error reporting,med,medium,medium,0,1,,,
,,denial of service,low,low,high,0,0,,,
,,denial of service,low,low,high,0,0,,,
,,denial of service,low,low,high,0,0,,,
,,denial of service,med,low,high,1,0,,,
,,code quality,med,info,n/a,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,access controls,med,low,high,0,0,,,
,,documentation,low,low,n/a,0,0,,,
,,code quality,low,info,n/a,0,0,,,
PolicyPal,,logic,med,high,high,0,0,,,
,,reentrancy,med,high,high,1,0,,,
,,numerics,low,low,medium,1,1,,,
,,denial of service,low,low,medium,0,0,,,
Republic,1.2,frontrunning,med,medium,medium,0,0,,,
,3.2,denial of service,med,medium,medium,1,1,,,
,3.3,error reporting,low,low,low,1,1,,,
,3.4,data exposure,med,high,high,0,0,,,
,3.5,logic,high,medium,low,1,1,,,
,5.2,numerics,med,medium,medium,1,1,,,
,6.2,denial of service,med,medium,medium,0,0,,,
,6.3,logic,med,high,high,0,0,,,
,6.4,timing,high,medium,high,0,0,,,
,Trust,access controls,med,high,high,0,0,,,
,,access controls,low,low,low,0,0,,,
,,access controls,low,low,low,0,1,,,
,,access controls,low,info,low,0,0,,,
,Design,code quality,low,info,n/a,0,0,,,
,,access controls,low,low,low,0,1,,,
,,code quality,low,info,n/a,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,reentrancy,med,low,high,1,1,,,
,,patching,med,low,high,1,0,,,
,,documentation,low,info,n/a,0,0,,,
,,auditing and logging,low,info,low,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,data validation,low,low,low,0,1,,,
,,data validation,low,low,high,0,0,,,
,,cryptography,low,high,low,0,0,,,
,,missing logic,med,low,low,0,0,,,
Stack,Security,access controls,crit,high,low,0,1,,,
,,patching,med,low,high,1,0,,,
,,missing logic,med,high,high,0,1,,,
,,code quality,med,low,low,1,0,,,
,,data validation,med,high,high,0,1,,,
,,configuration,med,high,high,0,0,,,
,,data validation,low,medium,high,0,0,,,
,Trust,access controls,high,high,low,0,0,,,
,,auditing and logging,med,medium,high,0,0,,,
,Design,numerics,med,low,high,1,1,,,
,,documentation,med,low,low,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,auditing and logging,med,low,low,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,undefined behavior,low,low,high,0,0,,,
,,access controls,low,low,low,0,0,,,
,,api inconsistency,low,low,low,1,0,,,
,,api inconsistency,low,low,low,0,0,,,
STOKR,Security,patching,low,low,high,1,0,,,
,,reentrancy,low,low,high,1,1,,,
,,numerics,low,low,low,1,1,,,
,,frontrunning,low,low,high,0,0,,,
,Design,code quality,low,info,n/a,0,0,,,
,,error reporting,low,info,low,0,1,,,
,,timing,low,low,low,0,1,,,
,,coding bug,low,low,low,0,1,,,
,,missing logic,low,low,low,0,1,,,
Smart Valor,Security,data validation,med,high,high,0,1,,,
,,timing,low,low,high,1,0,,,
,,missing logic,low,low,low,0,1,,,
,,access controls,low,medium,high,0,1,,,
,Trust,access controls,low,low,high,0,0,,,
,Design,patching,med,low,high,1,0,,,
,,auditing and logging,low,info,low,0,0,,,
,,auditing and logging,low,info,low,0,0,,,
,,missing logic,med,info,low,0,1,,,
,,documentation,low,info,n/a,0,0,,,
Smart Valor Crowdsale,Security,access controls,low,low,medium,0,0,,,
,Design,patching,med,low,high,1,0,,,
Switcheo,Security,data validation,med,medium,medium,0,0,,,
,,access controls,med,medium,medium,0,1,,,
,,patching,med,low,high,1,0,,,
,,authentication,high,high,medium,0,1,,,
,,access controls,med,medium,medium,0,1,,,
,,data validation,low,info,low,1,0,,,
,Trust,access controls,med,low,high,0,1,,,
,,api inconsistency,low,low,high,0,1,,,
,,denial of service,low,low,high,0,1,,,
,Design,data validation,low,medium,high,0,1,,,
,,denial of service,low,low,high,1,1,,,
,,code quality,low,info,n/a,0,,,,
Vutoken,Security,coding bug,crit,high,low,1,1,,,
,,coding bug,med,low,low,0,1,,,
,,timing,low,low,medium,0,1,,,
,,documentation,low,info,low,0,0,,,
,,documentation,low,info,low,0,0,,,
WBTC,Security,access controls,med,high,high,0,1,,,
,,cryptography,low,medium,high,0,1,,,
,Design,patching,med,low,high,1,0,,,
,,logic,med,high,medium,0,1,,,
,,code quality,low,low,low,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,code quality,low,info,n/a,0,0,,,
,,data validation,low,low,low,0,0,,,
Zilliqa,1,numerics,med,low,low,0,0,,,
,2,data validation,low,medium,high,0,0,,,
iExec,Security,access controls,high,medium,low,0,0,,,
,,logic,med,medium,medium,0,0,,,
,,denial of service,med,high,high,0,0,,,
,,access controls,low,low,medium,0,0,,,
,,logic,med,medium,medium,0,0,,,
,,denial of service,high,high,medium,0,1,,,
,,data validation,crit,high,low,0,0,,,
,,logc,high,medium,low,0,0,,,
,,api inconsistency,low,low,high,0,0,,,
,,documentation,med,high,high,0,0,,,
,,timing,low,medium,high,0,0,,,
,,access controls,high,high,medium,0,0,,,
,,numerics,med,medium,medium,0,0,,,
