Project,Issue,Type,CD Sev,ToB Sev,Difficulty,Static,Dynamic,,,
Aragon Payroll,1,access controls,major,high,medium,0,0,,Reports from:,https://diligence.consensys.net/audits/
,2,data validation,major,medium,medium,0,0,,CD Sev -> ToB Sev & Diff:,
,3,numerics,medium,low,low,0,1,,"Critical -> high sev, low diff",
,4,data validation,medium,medium,high,0,0,,Major -> everything else,
,5,code quality,medium,info,n/a,0,0,,Medium -> low,
,6,numerics,minor,low,low,1,0,,Minor -> low/informational,
,7,code quality,minor,info,n/a,0,0,,,
,8,code quality,minor,info,n/a,1,0,,low & n/a -> what we would include in a Code Quality appendix,
,9,code quality,minor,info,n/a,1,0,,,
0x ERC1155Proxy,1,data validation,major,high,medium,0,0,,,
,2,data validation,minor,low,high,1,0,,,
,3,code quality,minor,info,n/a,0,0,,,
,4,code quality,minor,info,n/a,1,0,,,
,5,code quality,minor,info,n/a,1,0,,,
Polymath-Core,1,configuration,critical,high,high,0,1,,,
,2,frontrunning,critical,high,low,0,0,,,
,3,configuration,critical,high,low,0,0,,,
,4,missing logic,critical,medium,low,0,1,,,
,5,authentication,major,medium,medium,0,1,,,
,6,coding bug,major,low,low,0,1,,,
,7,access controls,major,medium,low,0,0,,,
,8,logic,major,info,n/a,0,0,,,
,9,logic,major,low,low,0,1,,,
,10,coding bug,major,low,low,0,1,,,
,11,coding bug,major,low,low,0,1,,,
,12,missing logic,medium,medium,low,0,0,,,
,13,missing logic,medium,low,low,0,1,,,
,14,api inconsistency,medium,info,n/a,1,0,,,
,15,api inconsistency,minor,info,n/a,1,0,,,
,16,api inconsistency,minor,low,low,0,1,,,
,17,code quality,minor,info,n/a,1,0,,,
,18,data validation,minor,low,low,0,1,,,
,19,denial of service,minor,info,n/a,1,1,,,
,20,code quality,minor,info,n/a,1,0,,,
,21,code quality,minor,info,n/a,1,0,,,
,22,code quality,minor,info,n/a,1,0,,,
,23,code quality,minor,info,n/a,1,0,,,
,24,denia of service,minor,info,n/a,1,1,,,
,25,code quality,minor,info,n/a,1,0,,,
,26,configuration,minor,low,high,1,0,,,
,27,code quality,minor,info,n/a,1,0,,,
,28,access controls,minor,low,low,0,0,,,
,29,code quality,minor,info,n/a,1,0,,,
,30,code quality,minor,info,n/a,1,0,,,
,31,code quality,minor,info,n/a,1,0,,,
,32,numerics,minor,low,high,0,1,,,
,33,code quality,minor,info,n/a,0,0,,,
,34,code quality,minor,info,n/a,0,1,,,
IFunded,1,code quality,medium,info,n/a,0,0,,,
,2,code quality,medium,info,n/a,1,0,,,
,3,code quality,medium,info,n/a,0,0,,,
,4,data exposure,medium,medium,low,0,0,,,
,5,code quality,medium,info,n/a,0,0,,,
,6,code quality,medium,low,high,1,1,,,
,7,code quality,medium,info,n/a,1,0,,,
,8,code quality,medium,info,n/a,1,0,,,
,9,code quality,medium,info,n/a,1,0,,,
,10,code quality,medium,info,n/a,0,0,,,
,11,code quality,minor,low,high,1,0,,,
,12,code quality,minor,info,n/a,1,0,,,
,13,auditing and logging,minor,info,n/a,0,0,,,
,14,code quality,minor,info,n/a,0,0,,,
,15,code quality,minor,info,n/a,0,0,,,
,16,code quality,minor,info,n/a,0,0,,,
,17,code quality,minor,info,n/a,0,0,,,
,18,code quality,minor,info,n/a,0,0,,,
,19,code quality,minor,info,n/a,1,0,,,
,20,auditing and logging,minor,info,n/a,0,0,,,
,21,code quality,minor,info,n/a,0,0,,,
,22,data validation,minor,info,n/a,1,0,,,
,23,auditing and logging,minor,info,n/a,0,0,,,
,24,code quality,minor,info,n/a,0,0,,,
Bounties Network,1,logic,critical,high,medium,0,1,,,
,2,coding bug,critical,high,medium,0,0,,,
,3,logic,major,low,low,1,1,,,
,4,missing logic,major,low,low,0,0,,,
,5,reentrancy,medium,low,low,0,1,,,
,6,numerics,medium,info,low,1,1,,,
,7,code quality,medium,info,n/a,0,0,,,
,8,configuration,medium,low,low,0,0,,,
,9,auditing and logging,medium,info,low,0,0,,,
,10,api inconsistency,medium,medium,low,1,0,,,
,11,data validation,minor,low,high,0,0,,,
,12,code quality,minor,info,n/a,0,0,,,
,13,api inconsistency,minor,info,n/a,0,0,,,
,14,code quality,minor,info,n/a,0,0,,,
,15,patching,minor,low,high,1,0,,,
,16,coding bug,minor,low,low,0,1,,,
,17,code quality,minor,info,n/a,1,0,,,
,18,code quality,minor,info,n/a,0,0,,,
,19,code quality,minor,info,n/a,0,0,,,
,20,documentation,minor,info,n/a,0,0,,,
,21,missing logic,minor,low,low,0,0,,,
ENS Permanent Registrar,1,coding bug,critical,high,high,0,1,,,
,2,numerics,critical,high,low,1,1,,,
,3,frontrunning,critical,high,high,0,0,,,
,4,code bug,major,medium,low,0,0,,,
,5,access controls,medium,low,low,0,0,,,
,6,code quality,medium,low,medium,0,0,,,
,7,code quality,medium,info,n/a,0,0,,,
,8,race condition,medium,high,high,0,0,,,
